"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"A1XRWOK00HK1J4",2,1.25,3,1,0,1,0,1,0,1,0,0,0,4,2,4,"recurrance",1,1,1
"A1XRWOK00HK1J4",2,1.25,4,3,3.46,1,0,3,3.46,1.33,0.58,2,1.67,4,1,4,"recurrance",1,5,6
"A1VFRCYMWGWWCZ",3.25,2.95,1,3.25,2.22,2.5,1.73,5,1.83,3.5,2.08,0.75,1.5,5,2,6,"recurrance",4,1,6
"A1VFRCYMWGWWCZ",3.25,2.95,2,4.25,2.06,2.75,2.22,3,1.41,1.5,0.58,1.5,1.5,5,1,6,"long-term",5,1,7
"A1VFRCYMWGWWCZ",3.25,2.95,3,3,1.63,4.25,1.71,2.75,2.87,3.75,2.06,-1.25,-1,5,3,6,"recurrance",6,2,3
"A1VFRCYMWGWWCZ",3.25,2.95,4,2.75,2.22,2.5,1.91,3,2.16,2.5,1.73,0.25,0.5,5,4,6,"recurrance",4,4,5
"A1VFRCYMWGWWCZ",3.25,2.95,5,3,2.83,2.75,2.22,2.5,1.73,3.5,2.38,0.25,-1,5,5,6,"long-term",1,3,3
"A314XJY8V1YL12",2.67,1,1,2.33,1.53,1,0,2,1.73,1,0,1.33,1,4,1,4,"long-term",3,3,3
"A314XJY8V1YL12",2.67,1,2,2.67,2.08,1,0,2.67,2.08,1,0,1.67,1.67,4,2,4,"long-term",2,3,5
"A314XJY8V1YL12",2.67,1,3,2.67,2.08,1,0,3.33,1.53,1,0,1.67,2.33,4,4,4,"recurrance",2,4,5
"A314XJY8V1YL12",2.67,1,4,3,1,1,0,2.67,1.15,1,0,2,1.67,4,3,4,"recurrance",3,6,5
"A3KFFIBJZVM0J2",1.58,1.25,1,2,1.73,2,1.73,2.33,2.31,1,0,0,1.33,4,2,4,"short-term",4,1,3
"A3KFFIBJZVM0J2",1.58,1.25,2,1,0,1,0,1,0,1,0,0,0,4,3,4,"short-term",3,2,2
"A3KFFIBJZVM0J2",1.58,1.25,3,2.33,2.31,1,0,2,1.73,2,1.73,1.33,0,4,4,4,"short-term",2,3,2
"A3KFFIBJZVM0J2",1.58,1.25,4,1,0,1,0,1,0,1,0,0,0,4,1,4,"short-term",2,2,6
